date,usd/rm price,wti price,SMR20
4/1/2010,3.3344,81.64,283.25
5/1/2010,3.3934,81.47,290.1
6/1/2010,3.3789,83.25,291.05
7/1/2010,3.3669,82.69,294.85
8/1/2010,3.3625,82.91,294.5
11/1/2010,3.3394,82.04,296.95
12/1/2010,3.3519,80.11,300.9
13/1/2010,3.3359,79.66,299.1
14/1/2010,3.3312,79.19,303.45
15/1/2010,3.3337,77.95,303.3
19/1/2010,3.3332,78.83,305.2
20/1/2010,3.358,78.35,308.65
21/1/2010,3.3683,75.84,306.45
22/1/2010,3.3983,74.07,302.45
25/1/2010,3.3491,75.22,298.25
26/1/2010,3.4188,74.66,300.9
27/1/2010,3.4349,73.75,295.2
28/1/2010,3.4146,73.89,291.25
29/1/2010,3.4111,72.67,291.75
2/2/2010,3.4147,77,294.2
3/2/2010,3.3991,77.1,295.45
4/2/2010,3.4234,73,295.9
5/2/2010,3.4236,71.91,289.6
8/2/2010,3.4506,71.69,289.85
9/2/2010,3.4328,73.78,289.85
10/2/2010,3.4229,74.67,293.5
11/2/2010,3.4163,75.33,295.1
12/2/2010,3.4153,74.2,298.1
22/2/2010,3.3956,79.19,307.9
23/2/2010,3.4042,79.13,307.6
24/2/2010,3.4054,80.33,309.2
25/2/2010,3.3884,78.34,309.85
1/3/2010,3.3734,78.84,313
2/3/2010,3.3066,79.65,312.55
3/3/2010,3.3725,81.03,313.1
4/3/2010,3.3646,80.6,313.4
5/3/2010,3.353,81.79,313.4
8/3/2010,3.331,81.8,316.1
9/3/2010,3.3339,81.38,315.9
10/3/2010,3.3219,81.98,315.8
11/3/2010,3.3128,82.27,318.25
12/3/2010,3.3013,81.1,317.9
15/3/2010,3.3131,79.86,315.8
16/3/2010,3.3066,82.06,311.35
17/3/2010,3.3016,82.87,313.65
18/3/2010,3.3027,82.21,313.95
19/3/2010,3.3048,80.68,313.3
22/3/2010,3.3189,80.69,312.95
23/3/2010,3.3285,81.64,311.8
24/3/2010,3.3204,80.23,311.4
25/3/2010,3.3244,80.16,313.05
26/3/2010,3.2993,80.14,316.3
29/3/2010,3.2613,82.52,320.65
30/3/2010,3.2631,82.55,324.5
31/3/2010,3.2599,83.38,323.95
1/4/2010,3.2526,85.27,325.2
6/4/2010,3.2046,86.78,330.1
7/4/2010,3.2093,85.64,332.3
8/4/2010,3.1951,85.64,330.05
9/4/2010,3.1757,84.87,331.85
12/4/2010,3.2068,84.31,334.55
13/4/2010,3.2128,83.81,330.25
14/4/2010,3.2005,85.94,333
15/4/2010,3.1864,85.31,336.05
16/4/2010,3.1843,82.95,334.5
19/4/2010,3.207,81.91,330.3
20/4/2010,3.2057,83.44,332.05
21/4/2010,3.1944,83.44,334.75
22/4/2010,3.2028,83.75,331.25
23/4/2010,3.1832,85.06,330.2
26/4/2010,3.1632,83.88,332.55
27/4/2010,3.199,81.84,327.7
28/4/2010,3.1934,83.32,320.05
29/4/2010,3.1842,85.6,316.85
30/4/2010,3.1837,86.19,314.4
4/5/2010,3.2292,82.08,306.4
5/5/2010,3.2452,79.56,300.95
6/5/2010,3.2753,76.85,295.55
7/5/2010,3.2569,75.44,286.8
10/5/2010,3.2182,77.28,287.9
11/5/2010,3.2289,76.03,289.1
12/5/2010,3.2057,75.51,285.85
13/5/2010,3.1372,73.87,286
14/5/2010,3.198,72.03,281.4
17/5/2010,3.1427,70.48,274.5
18/5/2010,3.2567,69.09,273.9
19/5/2010,3.1323,71.1,272.7
20/5/2010,3.2434,68.67,274.4
21/5/2010,3.3137,70.42,272.1
24/5/2010,3.2633,70.01,275.6
25/5/2010,3.345,69.95,279.45
26/5/2010,3.3267,70.88,283.6
27/5/2010,3.2968,74.92,287.8
1/6/2010,3.3167,71.94,292.9
2/6/2010,3.2809,73.69,288.7
3/6/2010,3.2682,74.62,291.9
4/6/2010,3.2805,70.92,291.3
7/6/2010,3.3389,71.14,281.25
8/6/2010,3.3303,72.51,281.95
9/6/2010,3.3302,73.89,280.75
10/6/2010,3.2988,75.45,280.35
11/6/2010,3.271,74.23,284.75
14/6/2010,3.2607,74.77,287.45
17/6/2010,3.2606,76.59,287.75
18/6/2010,3.2395,77.34,287.55
21/6/2010,3.203,77.08,293.1
22/6/2010,3.21,76.94,292.45
23/6/2010,3.213,76.06,291.2
24/6/2010,3.2426,76.56,293.2
25/6/2010,3.2352,79.16,292.7
28/6/2010,3.2318,78.15,296.5
29/6/2010,3.2513,75.44,292.65
30/6/2010,3.2505,75.35,286
1/7/2010,3.2257,72.6,286.85
2/7/2010,3.2233,72.29,289.7
6/7/2010,3.2086,72.03,288.95
7/7/2010,3.2077,74.89,291.55
8/7/2010,3.1919,75.92,293.65
9/7/2010,3.192,76.45,293.45
